labeler_did,handle,display_name,labeler_class,maturity_class,active_recently,declares_scope,explains_labels,user_visible_consequence_known,has_stable_service_record,label_count_30d,label_count_7d,distinct_targets_30d,latest_label_def_count,service_record_revisions,first_record_at,last_record_at,last_seen,regime_state,endpoint_status,visibility_class,auditability,likely_test_dev,is_reference
did:plc:lyfdahuzifj577o5o6vphfl5,ozone.fifo-f.eu,Ozone Moderation Service,third_party,abandoned,False,True,True,True,True,0,0,0,4,1,2026-04-01T04:54:58.866832Z,2026-04-01T04:54:58.866832Z,2026-06-08T04:38:26.089506Z,warming_up,accessible,declared,high,False,False
did:plc:yemwxps6ptz2ziy2yq6gfjw4,labeler.ucho-ten.net,Ucho-ten Labeler,third_party,abandoned,False,True,True,True,True,0,0,0,26,3,2026-03-08T22:51:54.107181Z,2026-03-20T03:32:37.416074Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
did:plc:vud7oo5sc7k256jjplfxlnhm,pronounsinb.io,Pronouns Labeler,third_party,abandoned,False,True,True,True,True,0,0,0,68,2,2026-05-22T14:55:33.647396Z,2026-05-22T14:56:42.418024Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
did:plc:k2zhsrxcku6bdsppymu2gmmo,awacs.prtgn.org,,third_party,abandoned,False,True,True,True,False,0,0,0,7,19,2026-03-23T03:56:37.298559Z,2026-04-13T02:35:03.306096Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
did:plc:2hcnfmbfr4ucfbjpnvjqvt3e,vt3e.cat,vi,third_party,abandoned,False,True,True,True,False,0,0,0,1,11,2026-03-06T21:09:33.764978Z,2026-03-24T21:41:47.789269Z,2026-06-08T04:38:26.089506Z,warming_up,down,declared,medium,False,False
did:plc:pdftantb2wpnczkhusrixbpy,starrysky.app,,third_party,abandoned,False,True,True,False,True,0,0,0,1,1,2026-03-24T20:57:46.666564Z,2026-03-24T20:57:46.666564Z,2026-06-08T04:38:26.089506Z,warming_up,unknown,declared,medium,False,False
did:plc:jydpygzvttjtepzhy4zlhz52,art.tartgames.com,Art Council Bot,third_party,abandoned,False,True,True,True,False,0,0,0,7,34,2026-03-06T03:04:50.987013Z,2026-03-06T04:26:49.014976Z,2026-06-08T04:38:26.089506Z,warming_up,down,declared,medium,False,False
did:plc:btyteraqypld3yjd2yu5eiyt,adult-mode.bsky.social,成人模式,third_party,abandoned,False,True,True,True,False,0,0,0,7,9,2026-03-06T11:59:01.404517Z,2026-03-06T20:21:17.595580Z,2026-06-08T04:38:26.089506Z,inactive,down,declared,medium,False,False
did:plc:pfyyashnoatlhgwwfq7ut64l,lore.farm,lore.farm,third_party,abandoned,False,True,True,True,True,0,0,0,2,2,2026-03-07T15:39:08.006326Z,2026-03-07T15:55:27.581716Z,2026-06-08T04:38:26.089506Z,inactive,unknown,declared,medium,False,False
did:plc:7eansezz3nlumwc7gfuiaksv,oat.zone,,third_party,abandoned,False,True,True,True,True,0,0,0,1,1,2026-03-07T22:57:28.017716Z,2026-03-07T22:57:28.017716Z,2026-06-08T04:38:26.089506Z,warming_up,unknown,declared,medium,False,False
did:plc:knu6ljpbzut3ur6izjqgnsrw,obol.sh,Obol,third_party,abandoned,False,True,True,True,True,0,0,0,1,1,2026-03-08T21:54:50.065805Z,2026-03-08T21:54:50.065805Z,2026-06-08T04:38:26.089506Z,warming_up,down,declared,medium,False,False
did:plc:ugigqebt4sm3n4xpmqvslcyo,labelz.labelz-pds.nate-8fe.workers.dev,,third_party,experimental,False,False,False,False,True,0,0,0,0,1,2026-03-12T04:51:47.010569Z,2026-03-12T04:51:47.010569Z,2026-06-08T04:38:26.089506Z,warming_up,accessible,declared,high,True,False
did:plc:l37td5yhxl2irrzrgvei4qay,danielmorrisey.com,,third_party,abandoned,False,True,True,True,True,0,0,0,1,2,2026-03-13T00:33:31.665380Z,2026-03-13T00:33:32.700503Z,2026-06-08T04:38:26.089506Z,warming_up,unknown,declared,medium,False,False
did:plc:zj3ek5g7p4gxvg6mcnxazar5,alternativeproto.net,AlternativeProto,third_party,abandoned,False,True,True,True,True,0,0,0,3,3,2026-03-15T17:13:59.332297Z,2026-03-19T04:20:31.384018Z,2026-06-08T04:38:26.089506Z,warming_up,accessible,declared,high,False,False
did:plc:edod7rboajioq3jbyxsgeicc,heisenberg.climateai.org,heisenberg,third_party,abandoned,False,True,True,True,True,0,0,0,5,1,2026-03-16T13:32:52.459401Z,2026-03-16T13:32:52.459401Z,2026-06-08T04:38:26.089506Z,warming_up,down,declared,medium,False,False
did:plc:g6juxaq3xv3mnep2p6dh22ea,wearemagen.org,,third_party,abandoned,False,True,True,True,False,0,0,0,6,8,2026-03-16T17:18:27.561759Z,2026-03-18T00:41:45.614435Z,2026-06-08T04:38:26.089506Z,inactive,accessible,declared,high,False,False
did:plc:pwpuqwge6g7xrjmfbw73uycw,photosky.at,PhotoSky,third_party,abandoned,False,True,True,True,True,0,0,0,11,2,2026-03-17T14:29:17.094840Z,2026-03-17T14:57:20.885950Z,2026-06-08T04:38:26.089506Z,warming_up,unknown,declared,medium,False,False
did:plc:ne3worfl2e6ixxsaoyuqmr7w,trezy-test-labeler.bsky.social,,third_party,experimental,False,True,True,False,True,0,0,0,1,4,2026-03-17T18:28:54.398157Z,2026-03-19T02:26:18.795373Z,2026-06-08T04:38:26.089506Z,warming_up,down,declared,medium,True,False
